NIM,Nama,Nilai_Ujian,Nilai_Project,Total
S001,Andi,92,6,98
S002,Budi,90,8,98
S003,Citra,91,6,97
S004,Dewi,89,8,97
S005,Tika,88,8,96
S006,Fajar,90,5,95
S007,Gina,87,8,95
S008,Hadi,86,8,94
S009,Intan,85,9,94
S010,Joko,88,5,93
S011,Karin,84,9,93
S012,Lukman,83,9,92
S013,Maya,86,6,92
S014,Nanda,82,10,92
S015,Oki,85,6,91
S016,Putri,81,10,91
S017,Qori,84,7,91
S018,Rian,80,10,90
S019,Salsa,83,7,90
S020,Tono,82,8,90
S021,Umar,79,10,89
S022,Vina,81,8,89
S023,Wawan,84,5,89
S024,Xena,78,10,88
S025,Yusuf,80,8,88
S026,Zahra,82,6,88
S027,Alif,77,10,87
S028,Bella,79,8,87
S029,Cahyo,81,6,87
S030,Dina,76,10,86
S031,Erik,78,8,86
S032,Fina,80,6,86
S033,Gilang,75,10,85
S034,Hana,77,8,85
S035,Indra,79,6,85
S036,Jihan,74,10,84
S037,Kevin,76,8,84
S038,Laila,78,6,84
S039,Malik,73,10,83
S040,Nisa,75,8,83
S041,Oscar,77,6,83
S042,Putra,72,10,82
S043,Qila,74,8,82
S044,Raka,76,6,82
S045,Sinta,71,10,81
S046,Tari,73,8,81
S047,Udin,75,6,81
S048,Via,70,10,80
S049,Windi,72,8,80
S050,Xavier,74,6,80
S051,Yani,69,10,79
S052,Zaki,71,8,79
S053,Aulia,73,6,79
S054,Bagas,68,10,78
S055,Caca,70,8,78
S056,Damar,72,6,78
S057,Elisa,67,10,77
S058,Fikri,69,8,77
S059,Ghea,71,6,77
S060,Haris,66,10,76
S061,Indah,68,8,76
S062,Jefri,70,6,76
S063,Kayla,65,10,75
